TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
59,species,littin1,avibase-39DD9DD7,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),Tinamous,
74,species,teptin1,avibase-F5F9A63F,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),Tinamous,
75,species,brotin1,avibase-D624C373,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
76,issf,brntin1,avibase-312C8577,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
77,issf,brntin2,avibase-40F0CAA1,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
86,species,undtin1,avibase-7A600A0F,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
93,species,pabtin1,avibase-D303E7FF,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
94,species,bratin1,avibase-FE2B5A6B,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
95,species,gyltin1,avibase-D2592D39,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),Tinamous,
96,species,reltin1,avibase-4E03F38D,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
104,species,yeltin1,avibase-7507BE36,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
105,issf,yeltin2,avibase-5D053169,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous),Tinamous,yeltin1
106,issf,yeltin3,avibase-55A93510,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous),Tinamous,yeltin1
107,species,blctin1,avibase-41631439,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
110,species,slbtin1,avibase-5183B60E,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
113,species,chotin1,avibase-2ED97B54,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),Tinamous,
114,species,vartin1,avibase-F8BBC7A7,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
115,species,thitin1,avibase-AAB5CEED,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
116,issf,thitin2,avibase-8A2D8FB6,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),Tinamous,thitin1
117,issf,thitin3,avibase-BC6EF580,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,thitin1
126,species,rustin1,avibase-45EE168A,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
127,species,bartin2,avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),Tinamous,
128,species,smbtin1,avibase-2988DEC6,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
129,species,bartin1,avibase-26D1CE28,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),Tinamous,
130,species,tattin1,avibase-9C7F2C57,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
135,spuh,cryptu1,avibase-C2342750,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
136,species,rewtin1,avibase-C141F60A,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),Tinamous,
140,species,huatin1,avibase-94AF5DC7,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),Tinamous,
141,species,tactin1,avibase-368EC295,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
142,species,orntin1,avibase-286A2FBA,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),Tinamous,
146,species,chitin1,avibase-F900EE88,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),Tinamous,
149,species,brutin1,avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),Tinamous,
152,species,andtin1,avibase-7A66539A,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
161,species,cubtin1,avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
164,spuh,nothop1,avibase-D8C989EB,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
165,species,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Tinamous,
166,species,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Tinamous,
167,species,darnot1,avibase-F7D16275,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
173,species,sponot1,avibase-03C3DDFB,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
183,slash,y01225,avibase-39884CBA,White-bellied/Spotted Nothura,Nothura boraquira/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
184,slash,y01226,avibase-674A1BB6,Lesser/Spotted Nothura,Nothura minor/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
185,species,dwatin1,avibase-B62C4561,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
186,species,elctin1,avibase-4E215E82,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Tinamous,
197,species,quctin1,avibase-9337459C,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
200,species,puntin1,avibase-0A51B426,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
201,species,pattin1,avibase-EC451D91,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
202,spuh,tinamo1,avibase-1C80D150,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
204,species,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
205,species,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
206,species,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
207,species,emu1,avibase-FD2456D5,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
213,species,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,
214,issf,sobkiw2,avibase-542125A3,Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,sobkiw1
215,issf,sobkiw3,avibase-85AC0A84,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),Kiwis,sobkiw1
216,species,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),Kiwis,
217,species,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,
218,species,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
219,hybrid,x01059,avibase-9B30D5F8,Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
220,species,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
221,spuh,kiwi1,avibase-262DB4D5,kiwi sp.,Apteryx sp.,Apterygiformes,Apterygidae (Kiwis),Kiwis,
223,species,horscr1,avibase-71BA40DC,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Screamers,
224,species,souscr1,avibase-91194BE3,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),Screamers,
225,species,norscr1,avibase-013B2B0B,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),Screamers,
227,species,maggoo1,avibase-89D5434B,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
229,species,spwduc1,avibase-1AAB20B0,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
230,species,plwduc1,avibase-A467AD00,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
231,species,wfwduc1,avibase-A534AFEA,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
232,hybrid,x00721,avibase-D0C8EB9E,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
233,species,bbwduc,avibase-C01A22D6,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
234,issf,bkbwhd1,avibase-79DDD6D9,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,bbwduc
235,issf,bkbwhd2,avibase-A63F77A1,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,bbwduc
236,species,wiwduc1,avibase-DC65FCE7,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
237,hybrid,x00775,avibase-D10F60FB,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
238,species,fuwduc,avibase-9A60617E,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
239,hybrid,x00938,avibase-944BFBDF,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
240,hybrid,x00875,avibase-973B0B71,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
241,species,wawduc1,avibase-69D272A6,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
245,hybrid,x00990,avibase-F40F48ED,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
246,slash,y01227,avibase-B5604EDE,Plumed/Wandering Whistling-Duck,Dendrocygna eytoni/arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
247,species,lewduc1,avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
248,slash,y01080,avibase-00932F1A,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
249,hybrid,x00360,avibase-A34B2F91,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
250,spuh,whistl1,avibase-5EE786A2,whistling-duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
251,species,whbduc1,avibase-2EEDACD5,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
254,species,bahgoo,avibase-B7159EF0,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
255,species,empgoo,avibase-1E6F0F8D,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
256,species,snogoo,avibase-D3A260BC,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
259,hybrid,x00991,avibase-5BDBBB81,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
260,species,rosgoo,avibase-7A24F57F,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
261,hybrid,sxrgoo1,avibase-4026C894,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
262,slash,y00469,avibase-594A12EF,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
263,species,gragoo,avibase-4AED44E8,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
264,issf,gragoo2,avibase-5D2E44DE,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
265,issf,gragoo3,avibase-01364018,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
266,domestic,gragoo1,avibase-6835DC6C,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
267,hybrid,x00992,avibase-E34C371D,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
268,species,swagoo1,avibase-946E4517,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
269,domestic,swagoo2,avibase-1EC15745,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,swagoo1
270,hybrid,x00776,avibase-916E14FB,Graylag x Swan Goose (hybrid),Anser anser x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
271,species,gwfgoo,avibase-466E9077,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
272,issf,gwfgoo1,avibase-948370D2,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
273,issf,gwfgoo4,avibase-05DCDA52,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
274,issf,gwfgoo2,avibase-304D8767,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
277,issf,gwfgoo3,avibase-4662DBF7,Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
278,hybrid,x00755,avibase-71C99AF8,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
279,hybrid,x00361,avibase-CBD2AE6E,Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
280,hybrid,x00627,avibase-CC0A3AF6,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
281,hybrid,x00362,avibase-AF827B87,Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
282,species,lwfgoo,avibase-184D2329,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
283,slash,y00707,avibase-3FC1DDB7,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
284,species,taibeg1,avibase-BDB497A3,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
288,species,tunbeg1,avibase-AD849FCB,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
291,hybrid,x01089,avibase-E1E49C90,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),Anser albifrons x serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
292,slash,y00468,avibase-2FEEA78C,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
293,species,pifgoo,avibase-AFA7EE74,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
294,domestic,domgoo1,avibase-B5A67E0C,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
295,spuh,anser1,avibase-C9ADFB7A,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
296,species,brant,avibase-3E04020B,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
297,issf,dabbra1,avibase-FF504551,Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
298,issf,atlbra1,avibase-81A40D31,Brant (Atlantic),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
299,issf,blkbra1,avibase-8C09000A,Brant (Black),Branta bernicla nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
300,form,gybbra1,avibase-0A01ABD3,Brant (Gray-bellied),Branta bernicla (Gray-bellied),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
301,intergrade,brant2,avibase-C0137EBA,Brant (Dark-bellied x Black),Branta bernicla bernicla x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
302,intergrade,brant1,avibase-55742A6E,Brant (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
303,hybrid,x00685,avibase-AA36FA05,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
304,species,bargoo,avibase-3163ED86,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
305,hybrid,x00363,avibase-F62C4CE4,Bar-headed x Barnacle Goose (hybrid),Anser indicus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
306,hybrid,x00993,avibase-E2067AC3,Emperor x Barnacle Goose (hybrid),Anser canagicus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
307,hybrid,x00994,avibase-4533AD07,Snow x Barnacle Goose (hybrid),Anser caerulescens x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
308,hybrid,x00995,avibase-87E50E54,Ross's x Barnacle Goose (hybrid),Anser rossii x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
309,hybrid,x00649,avibase-5920F623,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
310,hybrid,x00757,avibase-B3D7F924,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
311,hybrid,x00364,avibase-1384882D,Lesser White-fronted x Barnacle Goose (hybrid),Anser erythropus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
312,hybrid,x00756,avibase-F476D05F,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
313,species,cacgoo1,avibase-60214D49,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
314,issf,alcgoo1,avibase-90B3F5BB,Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
315,issf,ricgoo1,avibase-CB6F1CBC,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
316,issf,cacgoo2,avibase-C86F2A24,Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
317,issf,tacgoo1,avibase-DA8A7869,Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
318,hybrid,x00831,avibase-8CA483C6,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
319,hybrid,x00692,avibase-1A918933,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
320,hybrid,x00694,avibase-30D557E6,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
321,hybrid,x00722,avibase-70D3B8E2,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
322,hybrid,x00414,avibase-82AAEE7E,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
323,hybrid,x00416,avibase-560220B2,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
324,species,cangoo,avibase-B59E1863,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
325,issf,cangoo4,avibase-D44C5CFA,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cangoo
328,issf,cangoo3,avibase-90F340D4,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cangoo
